date,long_term_real_average
7/28/17,0.84
7/27/17,0.86
7/26/17,0.85
7/25/17,0.88
7/24/17,0.83
7/21/17,0.82
7/20/17,0.84
7/19/17,0.82
7/18/17,0.82
7/17/17,0.86
7/14/17,0.88
7/13/17,0.89
7/12/17,0.87
7/11/17,0.91
7/10/17,0.94
7/7/17,0.94
7/6/17,0.9
7/5/17,0.86
7/3/17,0.88
6/30/17,0.87
6/29/17,0.84
6/28/17,0.79
6/27/17,0.79
6/26/17,0.73
6/23/17,0.74
6/22/17,0.75
6/21/17,0.78
6/20/17,0.8
6/19/17,0.82
6/16/17,0.81
6/15/17,0.81
6/14/17,0.77
6/13/17,0.8
6/12/17,0.81
6/9/17,0.78
6/8/17,0.77
6/7/17,0.75
6/6/17,0.73
6/5/17,0.74
6/2/17,0.7
6/1/17,0.75
5/31/17,0.75
5/30/17,0.76
5/26/17,0.79
5/25/17,0.8
5/24/17,0.8
5/23/17,0.8
5/22/17,0.78
5/19/17,0.76
5/18/17,0.79
5/17/17,0.8
5/16/17,0.87
5/15/17,0.88
5/12/17,0.84
5/11/17,0.86
5/10/17,0.89
5/9/17,0.9
5/8/17,0.88
5/5/17,0.85
5/4/17,0.85
5/3/17,0.81
5/2/17,0.78
5/1/17,0.78
4/28/17,0.73
4/27/17,0.75
4/26/17,0.77
4/25/17,0.8
4/24/17,0.77
4/21/17,0.76
4/20/17,0.75
4/19/17,0.73
4/18/17,0.69
4/17/17,0.74
4/13/17,0.69
4/12/17,0.73
4/11/17,0.75
4/10/17,0.78
4/7/17,0.78
4/6/17,0.74
4/5/17,0.73
4/4/17,0.76
4/3/17,0.75
3/31/17,0.78
3/30/17,0.81
3/29/17,0.76
3/28/17,0.79
3/27/17,0.75
3/24/17,0.76
3/23/17,0.8
3/22/17,0.8
3/21/17,0.82
3/20/17,0.83
3/17/17,0.85
3/16/17,0.86
3/15/17,0.85
3/14/17,0.94
3/13/17,0.94
3/10/17,0.91
3/9/17,0.93
3/8/17,0.91
3/7/17,0.85
3/6/17,0.83
3/3/17,0.81
3/2/17,0.83
3/1/17,0.79
2/28/17,0.71
2/27/17,0.71
2/24/17,0.68
2/23/17,0.72
2/22/17,0.75
2/21/17,0.76
2/17/17,0.77
2/16/17,0.79
2/15/17,0.78
2/14/17,0.8
2/13/17,0.76
2/10/17,0.75
2/9/17,0.77
2/8/17,0.75
2/7/17,0.79
2/6/17,0.81
2/3/17,0.85
2/2/17,0.82
2/1/17,0.81
1/31/17,0.78
1/30/17,0.8
1/27/17,0.78
1/26/17,0.8
1/25/17,0.82
1/24/17,0.79
1/23/17,0.75
1/20/17,0.81
1/19/17,0.79
1/18/17,0.79
1/17/17,0.74
1/13/17,0.75
1/12/17,0.73
1/11/17,0.74
1/10/17,0.77
1/9/17,0.78
1/6/17,0.8
1/5/17,0.76
1/4/17,0.82
1/3/17,0.82
12/30/16,0.86
12/29/16,0.89
12/28/16,0.9
12/27/16,0.92
12/23/16,0.91
12/22/16,0.94
12/21/16,0.97
12/20/16,1.01
12/19/16,1.01
12/16/16,1.07
12/15/16,1.03
12/14/16,0.94
12/13/16,0.9
12/12/16,0.9
12/9/16,0.9
12/8/16,0.83
12/7/16,0.78
12/6/16,0.81
12/5/16,0.81
12/2/16,0.85
12/1/16,0.83
11/30/16,0.79
11/29/16,0.8
11/28/16,0.83
11/25/16,0.81
11/23/16,0.8
11/22/16,0.78
11/21/16,0.78
11/18/16,0.81
11/17/16,0.8
11/16/16,0.78
11/15/16,0.79
11/14/16,0.8
11/10/16,0.7
11/9/16,0.66
11/8/16,0.57
11/7/16,0.55
11/4/16,0.55
11/3/16,0.58
11/2/16,0.53
11/1/16,0.53
10/31/16,0.53
10/28/16,0.57
10/27/16,0.56
10/26/16,0.49
10/25/16,0.49
10/24/16,0.52
10/21/16,0.5
10/20/16,0.51
10/19/16,0.51
10/18/16,0.52
10/17/16,0.52
10/14/16,0.57
10/13/16,0.55
10/12/16,0.56
10/11/16,0.55
10/7/16,0.52
10/6/16,0.52
10/5/16,0.52
10/4/16,0.5
10/3/16,0.43
9/30/16,0.43
9/29/16,0.43
9/28/16,0.42
9/27/16,0.44
9/26/16,0.46
9/23/16,0.44
9/22/16,0.48
9/21/16,0.55
9/20/16,0.6
9/19/16,0.6
9/16/16,0.59
9/15/16,0.62
9/14/16,0.59
9/13/16,0.61
9/12/16,0.54
9/9/16,0.55
9/8/16,0.46
9/7/16,0.4
9/6/16,0.42
9/2/16,0.48
9/1/16,0.46
8/31/16,0.46
8/30/16,0.48
8/29/16,0.47
8/26/16,0.51
8/25/16,0.47
8/24/16,0.46
8/23/16,0.45
8/22/16,0.46
8/19/16,0.49
8/18/16,0.46
8/17/16,0.49
8/16/16,0.52
8/15/16,0.49
8/12/16,0.46
8/11/16,0.49
8/10/16,0.46
8/9/16,0.47
8/8/16,0.5
8/5/16,0.51
8/4/16,0.48
8/3/16,0.53
8/2/16,0.55
8/1/16,0.49
7/29/16,0.42
7/28/16,0.45
7/27/16,0.47
7/26/16,0.52
7/25/16,0.54
7/22/16,0.53
7/21/16,0.52
7/20/16,0.52
7/19/16,0.5
7/18/16,0.49
7/15/16,0.5
7/14/16,0.47
7/13/16,0.43
7/12/16,0.48
7/11/16,0.41
7/8/16,0.37
7/7/16,0.39
7/6/16,0.37
7/5/16,0.39
7/1/16,0.45
6/30/16,0.52
6/29/16,0.54
6/28/16,0.52
6/27/16,0.55
6/24/16,0.61
6/23/16,0.69
6/22/16,0.69
6/21/16,0.72
6/20/16,0.69
6/17/16,0.66
6/16/16,0.62
6/15/16,0.61
6/14/16,0.64
6/13/16,0.62
6/10/16,0.58
6/9/16,0.59
6/8/16,0.59
6/7/16,0.62
6/6/16,0.65
